method,output_file,representation,threshold,honest_silver_recall,silver_negative_merge_rate,case_control_precision,pack_invariance,candidate_recall,adversarial_pass,adversarial_total,release_gate,total_seconds,engine_seconds,api_tokens,api_requests,api_cache_hit
method_1_lexical,soap_sku_data_method_1_lexical.xlsx,lexical features,0.98,0.5492,0.0248,0.8689,0.9882,0.9534,7,7,True,8.856,8.246,0,0,False
method_2_local_tfidf,soap_sku_data_method_2_local_tfidf.xlsx,local hashed char/word TF-IDF,0.99,0.5492,0.0217,0.8833,1.0,0.9585,7,7,True,10.654,10.056,0,0,False
method_3_semantic,soap_sku_data_method_3_semantic.xlsx,OpenAI text-embedding-3-small (256d),0.98,0.5751,0.0233,0.881,0.9882,0.9845,7,7,True,10.273,9.661,310737,3,True
method_4_semantic_image,soap_sku_data_method_4_semantic_image.xlsx,OpenAI 256d + product-photo dhash/hue/structure,0.95,0.6269,0.0233,0.8897,0.9882,0.9845,7,7,True,11.086,10.479,310737,3,True
method_5_hybrid_fusion,soap_sku_data_method_5_hybrid_fusion.xlsx,OpenAI 256d + local hashed TF-IDF + product-photo late fusion,0.95,0.6943,0.0248,0.8933,1.0,0.9845,7,7,True,12.351,11.725,310737,3,True
